ConstructionType,ConstructionName,CementQuality,CementPrice,BrickQuality,BrickPrice,SandQuality,SandPrice,IronQuality,IronPrice,EnvironmentalCondition,Seller,Price
Roads, Marine Drive, High,280, High,20, High,440,Medium,46000, tightsoil, Birla Cement,3500000
Roads, Rajpath, Low,320, Low,50, Low,240, Low,40000,loosesoil, UltraTech Cement Ltd,2930000
Roads, Anna Salai, Low,490, Low,50,High,470, High,36000, tightsoil,JSW Cement Ltd,4560000
Roads, Park Street,Medium,230, Medium,50, Medium,350, Medium,20000, humidity, Asian Paints (for paints & coatings),3410000
Roads, M.G. Road, Low,200, Low,30, Medium,360, Medium,48000, loosesoil, LafargeHolcim India,2330000
Roads, Brigade Road, Low,390, Low,40, High,460,Low,20000, tightsoil, UltraTech Cement Ltd,4030000
Roads, Carter Road, High,280,Low,50, Low,460, High,48000, heavyrain, Nerolac Paints,2180000
Roads,Jawaharlal Nehru Road, Medium,210, Medium,50, High,310, Medium,24000,humidity, Ramco Cements Ltd,4920000
Roads, C.G. Road, Low,220, Low,20,Medium,410, Medium,34000, windy,Berger Paints India Ltd,2650000
Roads, Outer Ring Road, Low,490, High,50,Low,330, Low,42000, loosesoil,Supreme Industries (for pipes & fittings),3910000
Roads,Sarjapur Road, Medium,380, Medium,30, High,480, Medium,43000, loosesoil, Shree Cement Ltd,3250000
Roads, Camac Street, Low,330, High,20, High,250, High,24000, loosesoil, Jindal Steel & Power Ltd,2700000
Roads, Banjara Hills Road No. 1, Medium,440, Low,40, Medium,500, Medium,43000,Hightemp, UltraTech Cement Ltd,4330000
Roads, Juhu Tara Road, High,200, High,50, High,470, High,25000, Hightemp, Dalmia Cement (Bharat) Ltd,2560000
Roads, New Market Road, Medium,440, Medium,20, Medium,500, Low,20000, loosesoil, Berger Paints India Ltd,2970000
Roads, Connaught Place Inner Circle, Medium,250, Low,20, Medium,270, Low,48000,windy, ACC Limited,2330000
Roads, F.C. Road, Low,300, Medium,50, High,480, Medium,42000, tightsoil, Supreme Industries (for pipes & fittings),3710000
Roads, Kasturba Road, Low,500, Low,50,Medium,430, Medium,44000, humidity,ACC Limited,2860000
Roads, Ashram Road, High,430, Low,40, Medium,420, Medium,48000, tightsoil, Asian Paints (for paints & coatings),4770000
Roads, Gariahat Road,High,500, Low,50, High,380, Medium,46000, heavyrain, Ambuja Cements Ltd,3820000
Roads, Linking Road, High,210, Medium,20, Low,360,High,50000, humidity, JSW Cement Ltd,4880000
Roads, Pali Hill Road, Low,340, Low,40, High,500, Low,47000, humidity, Dalmia Cement (Bharat) Ltd,2320000
Roads, Vittal Mallya Road, High,220, Medium,50, High,350, Medium,46000, humidity, Shree Cement Ltd,2350000
Roads, VIP Road, Medium,340, Low,30, Low,500, Low,26000, tightsoil, Tata Steel Limited,2940000
Roads,Breach Candy Road, High,260, Low,30, High,490, Low,31000,tightsoil, Nerolac Paints,3910000
Roads, Commercial Street, High,420, Low,50, High,490, Low,40000, loosesoil, Ambuja Cements Ltd,2840000
Roads, Infantry Road, Low,230, High,20, High,420, Low,47000, windy, LafargeHolcim India,2540000
Roads, Tolstoy Road, Medium,410,High,40, High,400, Low,46000, tightsoil, Supreme Industries (for pipes & fittings),4950000
Roads, Burdwan Road, Medium,250, Medium,20, Medium,280, Low,21000, windy, Ramco Cements Ltd,4840000
Roads, Elliot?s Beach Road, Low,410, Low,40, Medium,370,Low,29000, Hightemp, ACC Limited,2370000
Highways, National Highway 44 (NH 44), Medium,270, High,20, Low,220,High,45000, Hightemp, ACC Limited,2600000
Highways, National Highway 48 (NH 48), High,300, Medium,50, Medium,360,Medium,40000, humidity, Birla Cement,4620000
Highways, National Highway 16 (NH 16), Medium,370, High,30, High,220,High,31000, heavyrain, Shree Cement Ltd,4430000
Highways, National Highway 19 (NH 19), Medium,330, Low,30, High,320, High,22000, windy, Hindware (HSIL Limited),3240000
Highways, Mumbai-Pune Expressway, Medium,460, Low,30, Medium,320, Low,22000, humidity, Berger Paints India Ltd,3330000
Highways, Yamuna Expressway, Medium,280,Medium,20, Low,470, Low,50000, heavyrain, Tata Steel Limited,4290000
Highways, Delhi?Mumbai Expressway, High,230,Medium,30, Medium,380, High,28000, heavyrain, LafargeHolcim India,3120000
Highways,Eastern Peripheral Expressway, High,350, Medium,20, Medium,410, Medium,24000,tightsoil, Ambuja Cements Ltd,4540000
Highways, Western Peripheral Expressway, Low,340, Medium,20, Low,490, High,32000, windy, Shree Cement Ltd,4320000
Highways, Golden Quadrilateral Highway, Medium,230, Low,30,Low,260, High,50000, Hightemp,ACC Limited,3850000
Highways, Bengaluru-Chennai Expressway, Medium,310, Low,40, High,200, Low,29000, heavyrain, Hindware (HSIL Limited),4770000
Highways, Hyderabad-Bangalore Expressway, High,480, High,20, Medium,310, Medium,39000, tightsoil, Ramco Cements Ltd,3840000
Highways, Ahmedabad-Vadodara Expressway, Low,410, High,40, Medium,480, Medium,23000, loosesoil, Berger Paints India Ltd,4300000
Highways, Chennai-Kolkata Highway, Low,310, Medium,20, Low,330, Low,37000,windy, Supreme Industries (for pipes & fittings),3610000
Highways, North-South Corridor Highway, Low,230,Low,30, Medium,500, Low,39000, heavyrain, Nerolac Paints,3850000
Highways,East-West Corridor Highway, Low,350, Medium,30, Medium,440, Low,29000,heavyrain, Ramco Cements Ltd,3930000
Highways, Lucknow-Agra Expressway, High,200, High,20,Low,330, Low,35000, windy,Shree Cement Ltd,2140000
Highways, Hyderabad-Vijayawada Expressway,Low,290, Medium,20, Low,250, Low,36000, Hightemp, JSW Cement Ltd,2560000
Highways, Mumbai-Goa Highway, High,340, High,30, Medium,430,High,30000, windy, LafargeHolcim India,4150000
Highways, Delhi-Meerut Expressway, Medium,420, High,40, Medium,420, Medium,21000, heavyrain, JSW Cement Ltd,2000000
Highways,Kanyakumari-Bangalore Highway, Medium,270, High,30, Medium,390, Low,40000, Hightemp, Vizag Steel (RINL - Rashtriya Ispat Nigam Ltd),4670000
Highways, Ganga Expressway, High,350,Low,20, Low,320, High,36000, humidity, ACC Limited,4780000
Highways,Mumbai-Nashik Expressway, Low,430, High,50, High,340, Medium,40000, humidity, UltraTech Cement Ltd,2450000
Highways, Chennai-Salem Expressway, Low,340, Medium,40, Low,310, Low,31000, tightsoil, ACC Limited,3450000
Highways, Ahmedabad-Dholera Expressway, Medium,400, High,40, Medium,210,Low,48000, Hightemp, JSW Cement Ltd,4010000
Highways, Nagpur-Hyderabad Highway, Low,330,High,40, Low,390, Low,45000, tightsoil, Ramco Cements Ltd,4170000
Highways, Pune-Bengaluru Highway, Low,240, High,20, Low,270, Low,31000,windy, Asian Paints (for paints & coatings),2390000
Highways, Jaipur-Kishangarh Expressway, Medium,400, High,20, High,430, Low,42000, Hightemp, Ambuja Cements Ltd,3690000
Highways,Kolkata-Durgapur Expressway, Medium,240, Medium,20, High,480, High,44000, heavyrain, Supreme Industries (for pipes & fittings),3840000
Highways, Delhi-Jaipur Expressway, High,240, Low,50, High,250, High,43000,tightsoil, UltraTech Cement Ltd,3890000
Bridges, Howrah Bridge, Medium,480, Medium,40,Medium,200, High,25000, Hightemp,Ramco Cements Ltd,4540000
